SESSION NAME:	MS0811 GABO S9E01 Music Cue Sheet Domestic
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	446
# OF AUDIO CLIPS:	34922
# OF AUDIO FILES:	7165


T R A C K  L I S T I N G
TRACK NAME:	MX a1 (Stereo)
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	40      	GBBO_Lightly Does It v1.01_2mx_TH.wav.new.01-09	   00:24:19:10	   00:24:49:17	   00:00:30:06	Unmuted
1       	41      	Light Whisk_05_Strings_Howe.wav.new.01-04	   00:25:04:07	   00:25:12:01	   00:00:07:19	Unmuted
1       	42      	Light Whisk_06_Long WW's_Howe.wav.new.01-11	   00:25:17:23	   00:25:28:19	   00:00:10:20	Unmuted
1       	43      	Light Whisk_01_Piano_Howe.wav.new.01-06	   00:25:29:21	   00:25:33:06	   00:00:03:10	Unmuted
1       	44      	GBBO Gentle Tension_2mx_Howe.wav.new.01-05	   00:26:05:05	   00:26:27:19	   00:00:22:14	Unmuted
1       	45      	GBBO 11_Stiff Peaks v1.11_StringsLong_TH.wav.new.01-04	   00:26:51:16	   00:27:11:20	   00:00:20:04	Unmuted
1       	46      	Sugar Jam 07_Howe_Sht Strings Hi.wav.new.01-04	   00:27:18:08	   00:27:21:17	   00:00:03:09	Unmuted
1       	47      	GBBO 12_Icing Madness v1.01 TIDEWAY_2mx.wav.new.01-09	   00:27:50:23	   00:28:11:14	   00:00:20:15	Unmuted
1       	48      	PRI_LIGHT REFLECTIVE TICKING_Pastry Golden Hour_Joel Agius (APRA)_FULL MIX.wav.new.02-04	   00:28:40:18	   00:28:54:20	   00:00:14:02	Unmuted
1       	49      	GBBO14_The Dough Is Rising v1.05_TIDEWAY_2mx.wav.new.01-05	   00:30:11:19	   00:30:21:03	   00:00:09:09	Unmuted
