SESSION NAME:,MS0811 GABO S9E01 Music Cue Sheet Domestic
SAMPLE RATE:,48000.000000
BIT DEPTH:,24-bit
SESSION START TIMECODE:,00:00:00:00
TIMECODE FORMAT:,25 Frame

No.,Name,Timecode In,Timecode Out,Duration
60,GBBO_Caramelised Pizz v1.03 ALT,00:23:39:16,00:23:56:15,00:00:16:24
61,GBBO_Lightly Does It v1.01,00:24:19:10,00:24:59:21,00:00:40:11
62,Light Whisk_05_Strings_Howe.wav.new,00:25:04:07,00:25:12:01,00:00:07:19
63,Rising Tension Bake Xmas_CYMBALS_Howe.wav.new,00:25:10:12,00:25:16:06,00:00:05:19
64,GBBO Light Busy Tension_Hi Perc & Cymbals_Howe.wav.new,00:25:11:02,00:25:17:13,00:00:06:11
65,Light Whisk,00:25:11:07,00:25:33:10,00:00:22:03
66,GBBO14_Baked Mushroom Starter v1.03_TIDEWAY,00:25:35:14,00:26:08:08,00:00:32:19
67,GBBO Gentle Tension,00:26:05:05,00:26:36:16,00:00:31:11
68,GBBO 11_Melting Meringues v1.02,00:26:37:08,00:26:50:14,00:00:13:06
69,GBBO 11_Stiff Peaks v1.11,00:26:49:14,00:27:11:20,00:00:22:06
70,22 Thunder Roll (Timpani)-01.,00:27:17:01,00:27:19:07,00:00:02:06
71,Sugar Jam,00:27:17:16,00:27:33:05,00:00:15:14
72,GBBO 12_Icing Madness v1.01 TIDEWAY,00:27:43:10,00:28:11:14,00:00:28:04
73,GBBO Rhythmic Tension,00:28:11:21,00:28:41:06,00:00:29:10
74,PRI_LIGHT REFLECTIVE TICKING_Pastry Golden Hour_Joel Agius (APRA)_FULL MIX.wav.new,00:28:40:18,00:28:54:20,00:00:14:02
75,GBBO Icing Tension,00:28:56:00,00:29:28:09,00:00:32:09
76,GBBO 11_Melting Meringues v1.02,00:29:24:22,00:30:16:04,00:00:51:07
77,GBBO14_The Dough Is Rising v1.05_TIDEWAY,00:30:11:19,00:30:31:00,00:00:19:06
78,Elefat107_Trk8_Cymbal_H_Sam_Music-01.,00:30:30:09,00:30:42:09,00:00:12:00
79,GBBO_Cream Tension v1.03_2mx_TH.wav.new,00:30:32:00,00:30:49:17,00:00:17:17
